Nome
Frank Darabont
Francis Ford Coppola
Christopher Nolan
Sidney Lumet
Peter Jackson
Quentin Tarantino
Steven Spielberg
David Fincher
Robert Zemeckis
Sergio Leone
Lana Wachowski
Martin Scorsese
Irvin Kershner
Milos Forman
Thomas Kail
Bong Joon Ho
Sudha Kongara
Fernando Meirelles
Hayao Miyazaki
Roberto Benigni
Jonathan Demme
George Lucas
Masaki Kobayashi
Akira Kurosawa
Frank Capra
Todd Phillips
Damien Chazelle
Olivier Nakache
Roman Polanski
Ridley Scott
Tony Kaye
Bryan Singer
Luc Besson
Roger Allers
James Cameron
Giuseppe Tornatore
Isao Takahata
Alfred Hitchcock
Michael Curtiz
Charles Chaplin
Nadine Labaki
Can Ulkay
Gayatri
Makoto Shinkai
Nitesh Tiwari
Bob Persichetti
Anthony Russo
Lee Unkrich
Rajkumar Hirani
Aamir Khan
Andrew Stanton
Florian Henckel von Donnersmarck
Chan-wook Park
Stanley Kubrick
Hrishikesh Mukherjee
Billy Wilder
Sam Mendes
Rahi Anil Barve
Sriram Raghavan
Jeethu Joseph
Thomas Vinterberg
Asghar Farhadi
Denis Villeneuve
Mehmet Ada Öztekin
Çagan Irmak
Michel Gondry
Jean-Pierre Jeunet
Guy Ritchie
Darren Aronofsky
Gus Van Sant
Majid Majidi
John Lasseter
Mel Gibson
Elem Klimov
Brian De Palma
Richard Marquand
Wolfgang Petersen
George Roy Hill
David Lean
Stanley Donen
Vittorio De Sica
Orson Welles
Fritz Lang
Aditya Dhar
Prashanth Neel
Peter Farrelly
Martin McDonagh
Meghna Gulzar
S.S. Rajamouli
Sergio Pablos
Nishikant Kamat
Vikas Bahl
Zaza Urushadze
Rakeysh Omprakash Mehra
Anurag Kashyap
Vikramaditya Motwane
Tigmanshu Dhulia
Juan José Campanella
Gavin O'Connor
Pete Docter
Shimit Amin
Paul Thomas Anderson
Guillermo del Toro
James McTeigue
Sanjay Leela Bhansali
Ashutosh Gowariker
Oliver Hirschbiegel
Ron Howard
Priyadarshan
Curtis Hanson
Yavuz Turgul
Michael Mann
Rajkumar Santoshi
Clint Eastwood
Emir Kusturica
John McTiernan
Andrei Tarkovsky
Ingmar Bergman
Moustapha Akkad
Ramesh Sippy
Terry Gilliam
John Sturges
Robert Mulligan
Stanley Kramer
Jules Dassin
Yasujirô Ozu
Joseph L. Mankiewicz
John Huston
Ernst Lubitsch
Buster Keaton
Céline Sciamma
Aniruddha Roy Chowdhury
Naoko Yamada
Oriol Paulo
Xavier Dolan
Vishal Bhardwaj
James Mangold
Lenny Abrahamson
Damián Szifron
Nuri Bilge Ceylan
Umesh Shukla
Wes Anderson
Mamoru Hosoda
Anurag Basu
Steve McQueen
Tom McCarthy
Tomm Moore
Sujoy Ghosh
Zoya Akhtar
George Miller
Neeraj Pandey
David Yates
Yôjirô Takita
Lasse Hallström
Adam Elliot
Dean DeBlois
Sean Penn
Ethan Coen
Terry George
Je-kyu Kang
Richard Linklater
Farhan Akhtar
Alejandro G. Iñárritu
Hideaki Anno
M. Night Shyamalan
Peter Weir
Joel Coen
Kar-Wai Wong
Danny Boyle
Mathieu Kassovitz
Aditya Chopra
Krzysztof Kieslowski
Jim Sheridan
Kaige Chen
Yimou Zhang
Rob Reiner
Oliver Stone
Wim Wenders
John Carpenter
Alan Parker
Werner Herzog
David Lynch
Terry Jones
Michael Cimino
John G. Avildsen
Peter Bogdanovich
Jean-Pierre Melville
Stuart Rosenberg
Gillo Pontecorvo
Luis Buñuel
Robert Aldrich
John Ford
François Truffaut
William Wyler
Federico Fellini
Elia Kazan
Henri-Georges Clouzot
Raoul Walsh
Carol Reed
Michael Powell
Victor Fleming
Jean Renoir
Carl Theodor Dreyer
F.W. Murnau
Clyde Bruckman
Robert Wiene
Amit Ravindernath Sharma
Ericson Core
Raja Menon
Kabir Khan
Garth Davis
Byron Howard
Stephen Chbosky
Destin Daniel Cretton
Gareth Evans
Morten Tyldum
James Gunn
Spike Jonze
José Padilha
Tom Hooper
Tate Taylor
Tim Miller
Wilson Yip
Karan Johar
Levent Semerci
Joss Whedon
Vincent Paronnaud
Jean-Marc Vallée
Gabriele Muccino
Edward Zwick
Paul Greengrass
Ki-duk Kim
Frank Miller
Julian Schnabel
Ömer Faruk Sorak
Brad Bird
Martin Campbell
Andrey Zvyagintsev
Alejandro Amenábar
Nikkhil Advani
Andrew Lau
Gore Verbinski
Tim Burton
Jae-young Kwak
Lars von Trier
Yilmaz Erdogan
Richard Kelly
Satoshi Kon
Walter Salles
Thomas Jahn
Billy Bob Thornton
Mike Leigh
Mamoru Oshii
Henry Selick
Harold Ramis
Taylor Hackford
Martin Brest
Ron Clements
Gary Trousdale
Kevin Costner
Spike Lee
Barry Levinson
Katsuhiro Ôtomo
Louis Malle
Richard Attenborough
Hal Ashby
Woody Allen
Mel Brooks
Franklin J. Schaffner
William Friedkin
Norman Jewison
Bernardo Bertolucci
Mike Nichols
Robert Wise
Jean-Luc Godard
Robert Rossen
Howard Hawks
Otto Preminger
Richard Brooks
Alexander Mackendrick
Charles Laughton
Nicholas Ray
Robert Hamer
Jacques Tourneur
W.S. Van Dyke
Lewis Milestone
Sergei M. Eisenstein
Rian Johnson
Mukesh Chhabra
Hirokazu Koreeda
Noah Baumbach
Luca Guadagnino
Ken Loach
Taika Waititi
Matt Ross
John Carney
Dan Gilroy
J.J. Abrams
Michel Hazanavicius
Doug Liman
Michael Haneke
Jacques Audiard
Duncan Jones
Tomas Alfredson
Neill Blomkamp
Imtiaz Ali
Cristian Mungiu
Richard Schenkman
Tarsem Singh
Ang Lee
Christophe Barratier
Jon Favreau
Edgar Wright
Fatih Akin
Alfonso Cuarón
Pedro Almodóvar
Danis Tanovic
Shin'ichirô Watanabe
Fabián Bielinsky
Cameron Crowe
Yoshifumi Kondô
Lee Tamahori
Tony Scott
Yoshiaki Kawajiri
Bob Clark
John Landis
Bob Fosse
George A. Romero
Alan J. Pakula
Alejandro Jodorowsky
Sam Peckinpah
Anthony Harvey
John Frankenheimer
Michelangelo Antonioni
Alain Resnais
Cecil B. DeMille
Fred Zinnemann
Henry Koster
George Seaton
George Cukor
Sam Wood
Merian C. Cooper
Tod Browning
Darius Marder
Paolo Genovese
Theodore Melfi
Paul King
Abhishek Chaubey
Travis Knight
Kenneth Lonergan
Martin Zandvliet
Gareth Edwards
Greta Gerwig
Dorota Kobiela
Matthew Warchus
Paolo Sorrentino
Ritesh Batra
Shoojit Sircar
Don Hall
Richard Curtis
Gauri Shinde
Josh Cooley
Adam McKay
Tetsuya Nakashima
Jee-woon Kim
Jeong-beom Lee
F. Gary Gray
Hong-jin Na
Niels Arden Oplev
Aaron Sorkin
David O. Russell
Pierre Morel
Mark Herman
Joe Wright
Nicolas Winding Refn
Jaco Van Dormael
Jonathan Dayton
Yash Chopra
Anders Thomas Jensen
Roger Donaldson
Mikael Håfström
Nick Cassavetes
Lukas Moodysson
Sylvain Chomet
Kevin Reynolds
Boaz Yakin
Troy Duffy
Joe Johnston
Andrew Adamson
Takeshi Kitano
Andrew Niccol
George P. Cosmatos
David Mickey Evans
James Ivory
Andrew Davis
Robert De Niro
Kevin Altieri
John Woo
Jim Jarmusch
John Singleton
Penny Marshall
Sam Raimi
John Hughes
Richard Donner
Roland Joffé
Ivan Reitman
Philip Kaufman
Robert Benton
Terrence Malick
René Laloux
Mel Stuart
John Schlesinger
Terence Young
Arthur Penn
Robert Stevenson
Ken Annakin
Jack Clayton
James Whale
Leo McCarey
Francis Lee
David Leitch
Taylor Sheridan
Jordan Peele
Christopher McQuarrie
Hannes Holm
Jemaine Clement
James Simone
James Marsh
Matthew Vaughn
Josh Boone
Alfonso Gomez-Rejon
Abdellatif Kechiche
Abhishek Kapoor
Felix van Groeningen
Alexander Payne
Rich Moore
Mark Osborne
Christopher Miller
Cary Joji Fukunaga
Ben Affleck
Marc Webb
Shûsuke Kaneko
Shane Meadows
Alex Garland
Susanne Bier
Kevin Macdonald
Paul McGuigan
Christian Carion
Anton Corbijn
Nathan Greno
Paul Verhoeven
Paul Haggis
Stephen Chow
Brad Anderson
Sofia Coppola
Mike Newell
Peter Mullan
Wolfgang Becker
Jessie Nelson
Stephen Daldry
John Cameron Mitchell
Steven Soderbergh
Bob Gale
Trey Parker
Mike Judge
Todd Solondz
Antoine Fuqua
James L. Brooks
Francis Veber
Scott Hicks
Gregory Hoblit
Kenneth Branagh
Michael Radford
Kevin Smith
Robert Altman
Brian Henson
James Foley
Jon Avnet
George Sluizer
Bruce Robinson
Jean-Jacques Annaud
Nicholas Meyer
Ted Kotcheff
Robert Redford
Jim Abrahams
Joseph Sargent
Robert Clouse
John Boorman
Don Siegel
Brian G. Hutton
Gene Saks
Cy Endfield
Guy Hamilton
J. Lee Thompson
Georges Franju
Charles Vidor
James Algar
Todd Haynes
Aneesh Chaganty
Sean Baker
Tyler Nilson
Sebastian Schipper
Deniz Gamze Ergüven
Joseph Kosinski
Ryan Coogler
David Mackenzie
Stephen Frears
Matt Reeves
David Ayer
Hiromasa Yonebayashi
Bradley Cooper
Pierre Coffin
Jonathan Levine
Daniel Monzón
Bennett Miller
Ruben Fleischer
Dennis Gansel
John Lee Hancock
David Cronenberg
Olivier Dahan
Ronny Yu
Neil Burger
Zack Snyder
James Wan
Charlie Kaufman
Gregg Araki
Yann Samuell
Marc Forster
Eric Bress
Kinji Fukasaku
Chris Columbus
Ted Demme
Mary Harron
Tom Tykwer
Tony Bancroft
Alex Proyas
Joel Schumacher
Jonathan Lynn
Marc Caro
David Zucker
Mark Rydell
Walter Hill
James Frawley
Martin Rosen
Wolfgang Reitherman
Richard Lester
Blake Edwards
George Stevens
