Title,Released_Year,Rating,Certificate
The Shawshank Redemption,1994,9.3,18
The Godfather,1972,9.2,18
The Dark Knight,2008,9.0,12
The Godfather: Part II,1974,9.0,18
12 Angry Men,1957,9.0,L
The Lord of the Rings: The Return of the King,2003,8.9,L
Pulp Fiction,1994,8.9,18
Schindler's List,1993,8.9,18
Inception,2010,8.8,12
Fight Club,1999,8.8,18
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,L
Forrest Gump,1994,8.8,12
"Il buono, il brutto, il cattivo",1966,8.8,18
The Lord of the Rings: The Two Towers,2002,8.7,12
The Matrix,1999,8.7,18
Goodfellas,1990,8.7,18
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,12
One Flew Over the Cuckoo's Nest,1975,8.7,18
Hamilton,2020,8.6,13
Gisaengchung,2019,8.6,18
Soorarai Pottru,2020,8.6,L
Interstellar,2014,8.6,12
Cidade de Deus,2002,8.6,18
Sen to Chihiro no kamikakushi,2001,8.6,L
Saving Private Ryan,1998,8.6,16
The Green Mile,1999,8.6,18
La vita è bella,1997,8.6,L
Se7en,1995,8.6,18
The Silence of the Lambs,1991,8.6,18
Star Wars,1977,8.6,12
Seppuku,1962,8.6,Unrated
Shichinin no samurai,1954,8.6,L
It's a Wonderful Life,1946,8.6,10
Joker,2019,8.5,18
Whiplash,2014,8.5,18
The Intouchables,2011,8.5,12
The Prestige,2006,8.5,L
The Departed,2006,8.5,18
The Pianist,2002,8.5,16
Gladiator,2000,8.5,12
American History X,1998,8.5,16
The Usual Suspects,1995,8.5,18
Léon,1994,8.5,18
The Lion King,1994,8.5,L
Terminator 2: Judgment Day,1991,8.5,L
Nuovo Cinema Paradiso,1988,8.5,L
Hotaru no haka,1988,8.5,L
Back to the Future,1985,8.5,L
Once Upon a Time in the West,1968,8.5,L
Psycho,1960,8.5,18
Casablanca,1942,8.5,L
Modern Times,1936,8.5,L
City Lights,1931,8.5,L
Capharnaüm,2018,8.4,18
Ayla: The Daughter of War,2017,8.4,Unrated
Vikram Vedha,2017,8.4,12
Kimi no na wa.,2016,8.4,L
Dangal,2016,8.4,L
Spider-Man: Into the Spider-Verse,2018,8.4,L
Avengers: Endgame,2019,8.4,12
Avengers: Infinity War,2018,8.4,12
Coco,2017,8.4,L
Django Unchained,2012,8.4,18
The Dark Knight Rises,2012,8.4,12
3 Idiots,2009,8.4,12
Taare Zameen Par,2007,8.4,L
WALL·E,2008,8.4,L
The Lives of Others,2006,8.4,18
Oldeuboi,2003,8.4,18
Memento,2000,8.4,12
Mononoke-hime,1997,8.4,L
Once Upon a Time in America,1984,8.4,18
Raiders of the Lost Ark,1981,8.4,18
The Shining,1980,8.4,18
Apocalypse Now,1979,8.4,16
Alien,1979,8.4,16
Anand,1971,8.4,L
Tengoku to jigoku,1963,8.4,Unrated
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,18
Witness for the Prosecution,1957,8.4,L
Paths of Glory,1957,8.4,18
Rear Window,1954,8.4,L
Sunset Blvd.,1950,8.4,L
The Great Dictator,1940,8.4,L
1917,2019,8.3,16
Tumbbad,2018,8.3,18
Andhadhun,2018,8.3,12
Drishyam,2013,8.3,L
Jagten,2012,8.3,16
Jodaeiye Nader az Simin,2011,8.3,13
Incendies,2010,8.3,16
Miracle in cell NO.7,2019,8.3,16
Babam ve Oglum,2005,8.3,Unrated
Inglourious Basterds,2009,8.3,18
Eternal Sunshine of the Spotless Mind,2004,8.3,12
Amélie,2001,8.3,L
Snatch,2000,8.3,12
Requiem for a Dream,2000,8.3,18
American Beauty,1999,8.3,12
Good Will Hunting,1997,8.3,L
Bacheha-Ye aseman,1997,8.3,10
Toy Story,1995,8.3,L
Braveheart,1995,8.3,18
Reservoir Dogs,1992,8.3,16
Full Metal Jacket,1987,8.3,12
Idi i smotri,1985,8.3,18
Aliens,1986,8.3,L
Amadeus,1984,8.3,16
Scarface,1983,8.3,18
Star Wars: Episode VI - Return of the Jedi,1983,8.3,L
Das Boot,1981,8.3,16
Taxi Driver,1976,8.3,18
The Sting,1973,8.3,L
A Clockwork Orange,1971,8.3,18
2001: A Space Odyssey,1968,8.3,L
Per qualche dollaro in più,1965,8.3,L
Lawrence of Arabia,1962,8.3,L
The Apartment,1960,8.3,L
North by Northwest,1959,8.3,L
Vertigo,1958,8.3,18
Singin' in the Rain,1952,8.3,L
Ikiru,1952,8.3,Unrated
Ladri di biciclette,1948,8.3,Unrated
Double Indemnity,1944,8.3,L
Citizen Kane,1941,8.3,12
M - Eine Stadt sucht einen Mörder,1931,8.3,L
Metropolis,1927,8.3,Unrated
The Kid,1921,8.3,L
Chhichhore,2019,8.2,12
Uri: The Surgical Strike,2018,8.2,12
K.G.F: Chapter 1,2018,8.2,12
Green Book,2018,8.2,12
"Three Billboards Outside Ebbing, Missouri",2017,8.2,18
Talvar,2015,8.2,12
Baahubali 2: The Conclusion,2017,8.2,12
Klaus,2019,8.2,10
Drishyam,2015,8.2,12
Queen,2013,8.2,12
Mandariinid,2013,8.2,Unrated
Bhaag Milkha Bhaag,2013,8.2,L
